,date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2921,2017-01-02,695006,159,148469153,933768.257861635,2.33524167,16353848176.394016,7003064569.680052,317688400354.033,0.000376651354930015,0.38308376386515763,0.0002,0.20341557721800196,109.117780780129,110981.28181068675,2510987.79032895,1987.5,4.511638062382401,2021442.2986038947,1987.5,2021442.2986038947,42.66406173,56.739231842578754,1,1017.0778860900099,136.45485624166068,32.75864622365128,16079248.60038371,20099853.125,13365862.99122714,289705,714760,376880.39885481,383316719.3760099,1.66278734171771,1691.1842345314756,0.01105211,11.240856675634259,1188493.88036615,1208790843.4737172,0.020758426268629192,0.019553531329584074,0.017203530802716083
2922,2017-01-03,665048,164,150441533,917326.420731707,2.35770988,16605694521.70078,7043145830.727979,317688400354.033,0.00039545714240496097,0.40835262539413925,0.0002,0.206521810637054,122.43748586014601,126430.05634843024,2589949.67052797,2050.0,4.652920255977,2116848.5590298036,2050.0,2116848.5590298036,37.14883444,57.18726274023891,1,1032.6090531852699,138.23082348938846,34.73849340589577,16081298.60035364,20100365.625,13367185.76587005,309610,751932,432888.37569107,447004455.75726527,2.13001881343294,2199.4767102058,0.014857725,15.342221344737117,1601629.30642226,1653856921.6584704,0.020298025828460853,0.01950285582839193,0.017118059213012824
2923,2017-01-04,695057,153,150872935,986097.614379085,2.55770131,18246345823.22252,7133884540.224973,317688400354.034,0.0005830104643909731,0.6614232994555047,0.000225,0.2552617002045577,190.298113640285,215892.53348239683,2416233.53409012,1912.5,4.3403179604143505,2169724.451738741,1912.5,2169724.451738741,31.06957842,62.00231311079489,1,1134.4964453535902,162.20855374769832,50.72944991737051,16083211.10035356,20100843.75,13369567.92442531,326406,718524,517651.41070633,587273685.3786026,2.35928024664688,2676.5950534138265,0.02016365,22.875589250353915,1695199.4799417,1923197784.1591125,0.021249112554358175,0.024148217929336385,0.020513714092088225
2924,2017-01-05,652932,140,137719466,983710.4714285709,2.23704042,16092973484.82236,7193867991.632404,317688400354.034,0.000402334468325792,0.4025348827641823,0.000226,0.2261125771382817,117.013347430077,117071.63516368075,2210932.64557266,1750.0,3.9711006822762998,1750871.7256282875,1750.0,1750871.7256282875,24.20054382,53.81646323151883,1,1000.49812893045,132.30776396854463,31.797562110680104,16084961.10035311,20101281.25,13370648.49084144,290836,617166,664652.87812364,664983960.9509399,3.6001869996425295,3601.980356942082,0.02724572,27.25929188136294,2221913.00982138,2223019808.9725156,0.023253559780434304,0.035089746566719954,0.026784612882265843
2925,2017-01-06,718728,161,158543903,984744.739130435,2.00164999,14357044093.61093,7172604674.168686,317688400354.033,0.000365580856763679,0.3262677375335648,0.000225,0.20080439001899483,125.889230350213,112351.60049082336,2542572.54240856,2012.5,4.56619447666479,1796083.7107254534,2012.5,1796083.7107254534,28.2420756,47.396225808138745,1,892.4639556399769,94.34812298258748,16.66383836885473,16086973.60031267,20101784.375,13372633.44274548,344354,734935,569610.17421446,508356549.25221354,2.39229141912727,2135.033862957897,0.02112011,18.848936914151437,1758178.6941163002,1569111112.0729623,0.02482324006687234,0.04171091512009887,0.03084997964831115
2926,2017-01-07,641049,138,136236238,987219.115942029,2.0252977999999997,14535387579.870789,7176913740.851753,317688400354.034,0.00037807731024321,0.3415751874072305,0.000226,0.20418044210157799,106.485474430065,96204.65153330512,2179347.89349305,1725.0,3.91346134104209,1558456.9142708941,1725.0,1558456.9142708941,36.61706997,47.547377306645814,1,903.4532836353011,98.93961708896951,17.689367188311998,16088698.60031227,20102215.625,13371760.969006,281650,629678,439377.00679213,396956599.54019976,2.1673706609661103,1958.1181405046448,0.01920547,17.351244935259263,1364745.62305582,1232983914.476685,0.024835317697022383,0.04172956983489165,0.030864425216963687
2927,2017-01-08,594176,167,134059102,802749.113772455,2.04304794,14682600907.602928,7186615940.354789,317688400354.033,0.000351045849260167,0.3203240707363134,0.00020340000000000004,0.1855994484056107,90.12996866002821,82242.24418936191,2637326.79864739,2087.5,4.735240996034269,1904812.4313997654,2087.5,1904812.4313997654,49.86958897,47.91022413292064,1,912.4849970777319,102.8442148810287,18.212495562760466,16090786.10018194,20102737.5,13373527.93045783,256747,583408,322657.28337991,294419930.2820261,1.4830415688186003,1353.2531815895954,0.015024000000000001,13.709174596095846,865218.31558132,789498732.1648213,0.024753580482128296,0.04173772888603031,0.030849309917758163
2928,2017-01-09,615967,136,126811693,932438.919117647,2.02053011,14539700661.885647,7195983174.76733,317688400354.034,0.000381145646092993,0.344368394559263,0.000226,0.20419295869748677,104.646586300052,94549.09767344914,2147763.14141344,1700.0,3.85583679326296,1535964.7335651664,1700.0,1535964.7335651664,33.4424657,47.25494695376453,1,903.508666803039,101.4151837458467,16.5104197973577,16092486.10014191,20103162.5,13373865.28199298,274558,606625,481199.15101036,434767603.3961246,2.4447083062758197,2208.8151425255815,0.02169743,19.603816052352258,1483021.17629457,1339922485.8345814,0.02472661322291823,0.04183311499945375,0.03083818279067961
2929,2017-01-10,698656,160,153052457,956577.85625,2.02492109,14589634708.700304,7205038629.058602,320089841909.255,0.00036847574135579397,0.33402287168116046,0.000226,0.20486876211221516,118.598707540128,107509.60354802947,2545880.37552233,2000.0,4.535714874388059,1812997.894798364,2000.0,1812997.894798364,35.57079509,47.19235174568416,1,906.4989473991819,101.87799743693441,17.651327240857306,16094486.10013187,20103662.5,13375262.91096652,321863,682279,452463.49028452,410157677.67947733,2.06739476833383,1874.091181353193,0.02068833,18.753949368446918,1410540.03514404,1278653057.122477,0.024726364972600213,0.04177826320071727,0.030838148654056773
2930,2017-01-11,639505,153,141722994,926294.078431373,1.76845775,12689026925.135504,7175193703.361245,336899932795.807,0.000368808355588194,0.290737031961984,0.000226,0.1781591122538867,112.496506280105,88682.64464835085,2562350.1341150003,1912.5,4.3367620133062,1507651.7795821163,1912.5,1507651.7795821163,26.77739939,40.735556538454006,1,788.3146559906489,78.44533226545714,1.2598553355304003,16096398.60011181,20104140.625,13377212.70250447,305027,616384,601118.81532089,473870772.10919404,5.37036575333313,4233.538031382769,0.03,23.649439679719467,3310207.52450249,2609485105.9358377,0.026873853238035133,0.04944515989450877,0.03590482159944333
